Max, 9279, Obj, 721, Reliability, 13.33333%, HowOften, 4, When, 324
Generation, Min, Avg, Max, Obj
378, 9241.866, 9245.48, 9256.733, 743.2667
379, 9241.967, 9245.572, 9256.733, 743.2667
380, 9242.033, 9245.671, 9256.767, 743.2333
381, 9242.233, 9245.76, 9256.767, 743.2333
382, 9242.3, 9245.832, 9256.767, 743.2333
383, 9242.366, 9245.924, 9256.767, 743.2333
384, 9242.6, 9246.005, 9256.767, 743.2333
385, 9242.7, 9246.068, 9256.767, 743.2333
386, 9242.767, 9246.153, 9256.767, 743.2333
387, 9242.866, 9246.236, 9257, 743
388, 9243, 9246.321, 9257, 743
389, 9243.1, 9246.404, 9257, 743
390, 9243.134, 9246.465, 9257, 743
391, 9243.267, 9246.534, 9257.066, 742.9333
392, 9243.366, 9246.596, 9257.066, 742.9333
393, 9243.467, 9246.69, 9257.066, 742.9333
394, 9243.5, 9246.771, 9257.066, 742.9333
395, 9243.634, 9246.865, 9257.066, 742.9333
396, 9243.634, 9246.918, 9257.2, 742.8
397, 9243.667, 9246.994, 9257.2, 742.8
398, 9243.8, 9247.068, 9257.267, 742.7333
399, 9243.866, 9247.144, 9257.267, 742.7333
